Estacion,Lineas,Latitud,Longitud,Combinacion
Alcántara,L1,-33.415419000018,-70.5896634998623,No
Baquedano,"L1, L5",-33.43750553096004,-70.63411422303083,Sí
Barrancas,L5,-33.4527,-70.739578,No
Bellas Artes,L5,-33.436437,-70.644239,No
Bellavista de La Florida,L5,-33.51967375048541,-70.5998685008082,No
Blanqueado,L5,-33.441131,-70.706884,No
Bío Bío,L6,-33.47666,-70.64236,No
Camino Agrícola,L5,-33.491921,-70.617491,No
Cardenal Caro,L3,-33.373314,-70.686283,No
Carlos Valdovinos,L5,-33.486573,-70.619021,No
Cementerios,L2,-33.413869,-70.643831,No
Cerrillos,L6,-33.483438,-70.694744,No
Cerro Blanco,L2,-33.422701000054,-70.6452344996378,No
Chile España,L3,-33.455206,-70.597489,No
Ciudad del Niño,L2,-33.5096130002021,-70.6566629998577,No
Conchalí,L3,-33.397531,-70.669564,No
Copa Lo Martinez,L2,-33.57088,-70.67366,No
Cristobal Colón,L4,-33.4262390000614,-70.5913565005398,No
Cumming,L5,-33.439081,-70.668727,No
Del Sol,L5,-33.489988,-70.753539,No
Departamental,L2,-33.5025035001789,-70.6546435001872,No
Dorsal,L2,-33.396749,-70.642995,No
Ecuador,L1,-33.4558520000734,-70.6997090002258,No
Einstein,L2,-33.405617,-70.64351,No
El Bosque,L2,-33.54642,-70.66699,No
El Golf,L1,-33.4166810001873,-70.5961859995077,No
El Llano,L2,-33.4825920005116,-70.6494913339987,No
El Parrón,L2,-33.5264300003383,-70.6613919999116,No
Elisa Correa,L4,-33.568978,-70.583827,No
Escuela Militar,L1,-33.4137962513945,-70.5834134986974,No
Estación Central,L1,-33.4510403336808,-70.6790756671766,No
Estadio Nacional,L6,-33.4626335000084,-70.6069290000594,No
Fernando Castillo Velasco,L3,-33.452321,-70.558179,No
Ferrocarril,L3,-33.36515,-70.70593,No
Francisco Bilbao,L4,-33.4316600000293,-70.5849245003265,No
Franklin,"L2, L6",-33.47646374103211,-70.64941008242597,Sí
Grecia,L4,-33.4695980040618,-70.5760219974342,No
Gruta de Lourdes,L5,-33.438271,-70.690941,No
Hernando de Magallanes,L1,-33.408201,-70.556103,No
Hospital El Pino,L2,-33.5826850000564,-70.6767600006371,No
Hospital Sótero del Río,L4,-33.5767460005552,-70.5823165005658,No
Hospitales,L3,-33.417829,-70.656054,No
Inés de Suárez,L6,-33.43841,-70.606742,No
Irarrázaval,"L3, L5",-33.45404880064935,-70.62849495714286,Sí
La Cisterna,"L2, L4A",-33.53800487895712,-70.6643520985358,Sí
La Granja,L4A,-33.541150500016,-70.6160410001947,No
La Moneda,L1,-33.444869201097,-70.6551847995323,No
Laguna Sur,L5,-33.4623845,-70.738134,No
Las Mercedes,L4,-33.6014065003725,-70.5774894994835,No
Las Parcelas,L5,-33.475021,-70.740398,No
Las Rejas,L1,-33.4575140001779,-70.7065992501643,No
Las Torres,L4,-33.4994285004767,-70.5866750005799,No
Lo Cruzat,L3,-33.3664432120537,-70.720480519152,No
Lo Ovalle,L2,-33.5172895002066,-70.6588529999999,No
Lo Prado,L5,-33.443204498535444,-70.71686449853544,No
Lo Valledor,L6,-33.477694,-70.680962,No
Lo Vial,L2,-33.496842000108,-70.6529965002026,No
Los Dominicos,L1,-33.4079660003098,-70.5451156663444,No
Los Héroes,"L1, L2",-33.44621221588554,-70.66061653418869,Sí
Los Leones,"L1, L6",-33.42169511622118,-70.60852254752102,Sí
Los Libertadores,L3,-33.365575,-70.690667,No
Los Orientales,L4,-33.4624280002695,-70.5738685008655,No
Los Presidentes,L4,-33.4796120004368,-70.578619000311,No
Los Quillayes,L4,-33.560877,-70.585288,No
Macul,L4,-33.5093810000803,-70.5900709992973,No
Manquehue,L1,-33.4092271697542,-70.5689079980065,No
Manuel Montt,L1,-33.4286535001209,-70.6196305002969,No
Matta,L3,-33.457966,-70.642977,No
Mirador,L5,-33.513087,-70.606208,No
Monseñor Eyzaguirre,L3,-33.453375,-70.613785,No
Monte Tabor,L5,-33.48209049970743,-70.74582299941487,No
Neptuno,L1,-33.4514660000993,-70.7226654999901,No
Observatorio,L2,-33.56039,-70.6703,No
Pajaritos,L1,-33.4573606674556,-70.7156393335818,No
Parque Almagro,L3,-33.451431,-70.650662,No
Parque Bustamante,L5,-33.442826,-70.632085,No
Parque O'Higgins,L2,-33.460700500022,-70.6568764999963,No
Patronato,L2,-33.4294940004763,-70.6471859996248,No
Pdte. Pedro Aguirre Cerda,L6,-33.478477,-70.664988,No
